what is the subject of of gender of <e> 's people born here	Kerala	Web_development	__location__location__people_born_here|__people__person__gender|__common__topic__subject_of	Kerala##__location__location__people_born_here##Suresh_Balaje##__people__person__gender##Male##__common__topic__subject_of##Web_development
what is the song of song of <e> 's song	Amsterdam	Amsterdam	__music__recording__song|__music__recording__song|__music__recording__song	Amsterdam##__music__recording__song##Amsterdam##__music__recording__song##Amsterdam##__music__recording__song##Amsterdam
what is the tracks of tracks of <e> 's track list	Reminiscence	Evolution	__music__release__track_list|__music__recording__tracks|__music__recording__tracks	Reminiscence##__music__release__track_list##Evolution##__music__recording__tracks##Evolution##__music__recording__tracks##Evolution
what is the recording of recording of <e> 's notable types	GABA_transporter	Protein	__common__topic__notable_types|__music__release_track__recording|__music__release_track__recording	GABA_transporter##__common__topic__notable_types##Protein##__music__release_track__recording##Protein##__music__release_track__recording##Protein
what is the people born here of place of birth of <e> 's people born here	Ballymote	Thomas_Joseph_Drury|John_Perry|Brother_Walfrid	__location__location__people_born_here|__people__person__place_of_birth|__location__location__people_born_here	Ballymote##__location__location__people_born_here##Thomas_Joseph_Drury##__people__person__place_of_birth##Ballymote##__location__location__people_born_here##Thomas_Joseph_Drury
what is the people born here of place of birth of <e> 's people born here	Ballymote	Thomas_Joseph_Drury|John_Perry|Brother_Walfrid	__location__location__people_born_here|__people__person__place_of_birth|__location__location__people_born_here	Ballymote##__location__location__people_born_here##Thomas_Joseph_Drury##__people__person__place_of_birth##Ballymote##__location__location__people_born_here##John_Perry
what is the people born here of place of birth of <e> 's people born here	Ballymote	Thomas_Joseph_Drury|John_Perry|Brother_Walfrid	__location__location__people_born_here|__people__person__place_of_birth|__location__location__people_born_here	Ballymote##__location__location__people_born_here##Thomas_Joseph_Drury##__people__person__place_of_birth##Ballymote##__location__location__people_born_here##Brother_Walfrid
what is the recordings of recordings of <e> 's recordings	Hard_Times	Hard_Times_(live)|Hard_Times	__music__composition__recordings|__music__composition__recordings|__music__composition__recordings	Hard_Times##__music__composition__recordings##Hard_Times##__music__composition__recordings##Hard_Times##__music__composition__recordings##Hard_Times_(live)
what is the recordings of recordings of <e> 's recordings	Hard_Times	Hard_Times_(live)|Hard_Times	__music__composition__recordings|__music__composition__recordings|__music__composition__recordings	Hard_Times##__music__composition__recordings##Hard_Times##__music__composition__recordings##Hard_Times##__music__composition__recordings##Hard_Times
what is the genre of release of <e> 's song	Believe	Gangsta_rap	__music__recording__song|__music__release_track__release|__music__album__genre	Believe##__music__recording__song##Believe##__music__release_track__release##Greatest_Hits##__music__album__genre##Gangsta_rap
what is the artist of recording of <e> 's song	Amsterdam	Another_Day	__music__recording__song|__music__release_track__recording|__music__recording__artist	Amsterdam##__music__recording__song##Amsterdam##__music__release_track__recording##Amsterdam##__music__recording__artist##Another_Day
what is the recording of recording of <e> 's artist	Kansas_City	Paul_McCartney	__music__recording__artist|__music__release_track__recording|__music__release_track__recording	Kansas_City##__music__recording__artist##Paul_McCartney##__music__release_track__recording##Paul_McCartney##__music__release_track__recording##Paul_McCartney
what is the tracks of tracks of <e> 's place of birth	Richard_Williams	Toronto	__people__person__place_of_birth|__music__recording__tracks|__music__recording__tracks	Richard_Williams##__people__person__place_of_birth##Toronto##__music__recording__tracks##Toronto##__music__recording__tracks##Toronto
